fecha,comentario,categoria,sentimiento,confianza
2026-09-11,"No me ha terminado de convencer, algunos de los artículos no son de muy buena calidad, en este aspecto podrían mejorarlos, calidad precio no está mal.",camera,neutral,0.5865458250045776
2026-07-22,Robusta y adecuada para los niños Per no me encajan del todo los botones de una lenovo. Pelin cara.,wireless,neutral,0.7123001217842102
2026-09-01,Precio... Calidad.. Son buenas,sports,positive,0.8114328980445862
2026-06-15,TOTALMENTE DESCONFORME ..SE TRASPASA AL MOMENTO EL PIPI AL SUELO..Y HE DE IR ENSEGUIDA CON PAPEL PARA LIMPIAR ...NO VOLVERE A COMPRARLOS PD: LOS DEL MERCADONA PARA PERSONAS ADULTAS VAN GENIAL,home,negative,0.9648969769477844
2026-09-15,Solo llevo usando la batería 1 semana y por el momento dura 4-5 horas. Tener en cuenta que eleva la parte trasera del ordenador 3 cm.,pc,neutral,0.4758507907390594
2026-08-11,"Llego bien de tiempo, bien de talla y tejido también calidad precio no hay queja es tal cual la foto",apparel,positive,0.8521906137466431
2026-07-31,"El color muy bonito, pero me molestan en el ojo, la calidad no es buena. Dinero tirado.",drugstore,negative,0.8658906817436218
2026-06-21,Auriculares de uso diario con buena calidad de sonido a buen precio.,electronics,positive,0.9645664691925048
2026-09-11,"producto no entregado, no puedo valorar",beauty,negative,0.9887664914131165
2026-08-22,Me costo.. acceder.. ni pc por lan.. ni por wifi. Entre por el movil y si pude acceder a configurarlo.. funciona muy bien,pc,positive,0.6680213212966919
2026-08-26,Entrega rapidísima. Taza muy bonita y perfecta para regalo.,home,positive,0.9651669859886168
2026-08-14,NO LA RECOMIENDO. NO FUNCIONA BIEN LA PANTALLA TÁCTIL. HACE BURBUJAS Y SE RALLA ENSEGUIDA. COMO PROTECCIÓN SI ES RECOMENDABLE.,wireless,negative,0.9684961438179016
2026-08-14,"La actualización ha resultado un desastre total, me ha quitado completamente las ganas de tenerlo.",wireless,negative,0.990376889705658
2026-08-27,"No parece que sean de mucha calidad, es un pack muy completo pero el primer día de uso ya cayeron los pelos de uno de los tres brazos del cepillo lateral.",kitchen,neutral,0.5541096925735474
